step,A,B,w00,w10,w20,y
181,-1,0,-1,0,1,2
182,-1,0,-1,0,-1,0
183,-1,0,-1,1,-1,0
184,-1,0,-1,1,1,2
185,-1,0,-1,1,0,1
186,-1,0,-1,-1,0,1
187,-1,0,-1,-1,1,2
188,-1,0,-1,-1,-1,0
189,-1,1,-1,-1,-1,0
190,-1,1,-1,-1,1,1
191,-1,1,-1,-1,0,0
192,-1,1,-1,1,0,2
193,-1,1,-1,1,1,3
194,-1,1,-1,1,-1,1
195,-1,1,-1,0,-1,0
196,-1,1,-1,0,1,2
197,-1,1,-1,0,0,1
198,-1,1,1,0,0,0
199,-1,1,1,0,1,0
200,-1,1,1,0,-1,0
201,-1,1,1,1,-1,0
202,-1,1,1,1,1,1
203,-1,1,1,1,0,0
204,-1,1,1,-1,0,0
205,-1,1,1,-1,1,0
206,-1,1,1,-1,-1,0
207,-1,1,0,-1,-1,0
208,-1,1,0,-1,1,0
209,-1,1,0,-1,0,0
210,-1,1,0,1,0,1
211,-1,1,0,1,1,2
212,-1,1,0,1,-1,0
213,-1,1,0,0,-1,0
214,-1,1,0,0,1,1
215,-1,1,0,0,0,0
216,-1,-1,0,0,0,0
217,-1,-1,0,0,1,1
218,-1,-1,0,0,-1,0
219,-1,-1,0,1,-1,0
220,-1,-1,0,1,1,0
221,-1,-1,0,1,0,0
222,-1,-1,0,-1,0,1
223,-1,-1,0,-1,1,2
224,-1,-1,0,-1,-1,0
225,-1,-1,1,-1,-1,0
226,-1,-1,1,-1,1,1
227,-1,-1,1,-1,0,0
228,-1,-1,1,1,0,0
229,-1,-1,1,1,1,0
230,-1,-1,1,1,-1,0
231,-1,-1,1,0,-1,0
232,-1,-1,1,0,1,0
233,-1,-1,1,0,0,0
234,-1,-1,-1,0,0,1
235,-1,-1,-1,0,1,2
236,-1,-1,-1,0,-1,0
237,-1,-1,-1,1,-1,0
238,-1,-1,-1,1,1,1
239,-1,-1,-1,1,0,0
240,-1,-1,-1,-1,0,2
241,-1,-1,-1,-1,1,3
242,-1,-1,-1,-1,-1,1
